UF;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
AC;628;758;702;626;771;1060;638;753;431;200
AL;1702;1530;1585;1494;1924;2995;3174;2449;1616;1103
AM;5671;5406;4124;3893;5999;9370;5635;4477;3515;2233
AP;942;638;589;637;809;798;542;377;373;226
BA;52430;40570;31251;23946;28049;32809;24335;18780;18924;11717
CE;16986;15682;11126;9616;11755;16856;12138;9785;9033;8309
DF;9478;10070;10757;11993;16853;24451;20164;13926;12210;7768
ES;8678;9031;8882;8578;10386;13562;10366;8666;9335;7300
GO;17994;19726;19962;18564;25543;32123;22637;17638;15555;10662
MA;10189;9579;8314;5902;5377;6094;4131;3101;2340;1284
MG;75503;80423;70438;63927;71523;90291;66580;55387;49353;34582
MS;4596;4446;4521;4346;5065;7177;5714;4247;4006;2036
MT;5433;4631;4719;3844;4054;5990;3572;2652;2698;1519
PA;9772;11572;9633;7725;7362;8651;5931;4826;3802;2744
PB;3477;4068;4144;3957;5656;7662;5271;4600;3121;2219
PE;14983;13702;11862;9569;10437;15478;14118;10643;8224;6778
PI;3957;5588;4967;3690;2871;3120;2216;1883;1503;854
PR;21955;20166;21400;19857;26334;42355;37154;36262;28550;15405
RJ;142640;115920;98105;90384;92776;117226;74132;49274;42502;33640
RN;2837;2318;2152;2166;2311;3585;3540;2930;2080;1228
RO;1843;1798;1889;1438;1238;1713;1185;805;669;410
RR;1251;1256;973;550;493;480;272;190;180;144
RS;30905;23903;20996;19465;22969;33524;23931;20802;19503;16707
SC;12434;10804;11490;10890;14468;22781;18143;14243;12665;7771
SE;4383;3638;3394;3192;3889;5723;3708;3705;2824;1923
SP;170234;161026;154661;165411;199872;256908;190035;146083;124087;79507
TO;1443;1470;1356;1005;1055;1293;774;683;594;352
